subject_group,school_code,school_name,major_group_code,actual_group_min_score,actual_group_min_rank,major_code,major_name,actual_major_min_score,actual_major_min_rank,actual_major_max_score,actual_major_avg_score,actual_major_admit_count,selection_requirement,college_department,major_note,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
历史,10558,中山大学,221,627,1317,061,工商管理类(广州),638,640,646.0,,48,历,,工商管理、会计学,198,198,,,6
历史,10558,中山大学,221,627,1317,071,经济学(深圳),633,912,645.0,,52,历,,,198,198,,,6
历史,10558,中山大学,221,627,1317,072,工商管理(深圳),632,968,638.0,,19,历,,,198,198,,,6
历史,10558,中山大学,221,627,1317,067,经济学类(珠海),628,1257,639.0,,61,历,,经济学、金融学,198,198,,,6
历史,10558,中山大学,221,627,1317,070,旅游管理类,627,1338,633.0,,8,历,,旅游管理、会展经济与管理、酒店管理,198,198,,,6
历史,10558,中山大学,222,625,1433,059,法学(法学+英语双学士学位),645,358,650.0,,16,历,,,187,187,,,9
历史,10558,中山大学,222,625,1433,058,法学,643,442,654.0,,20,历,,,187,187,,,9
历史,10558,中山大学,222,625,1433,056,法语(法语+法学双学士学位),639,600,643.0,,8,历,,,187,187,,,9
历史,10558,中山大学,222,625,1433,057,日语(日语+法学双学士学位),633,912,643.0,,8,历,,,187,187,,,9
历史,10558,中山大学,222,625,1433,055,外国语言文学类(广州),628,1257,642.0,,26,历,,英语、德语、法语、日语,187,187,,,9
历史,10558,中山大学,222,625,1433,053,社会学类,628,1257,642.0,,36,历,,社会学、人类学、考古学,187,187,,,9
历史,10558,中山大学,222,625,1433,062,新闻传播学类,626,1417,642.0,,26,历,,新闻学、传播学,187,187,,,9
历史,10558,中山大学,222,625,1433,068,外国语言文学类(珠海),625,1494,639.0,,36,历,,英语、阿拉伯语、西班牙语、朝鲜语、俄语,187,187,,,9
历史,10558,中山大学,222,625,1433,063,图书情报与档案管理类,625,1494,635.0,,11,历,,图书馆学、档案学,187,187,,,9
历史,10533,中南大学,201,616,2436,009,法学,622,1731,627.0,,6,历,,,31,31,,,4
历史,10533,中南大学,201,616,2436,010,金融学类(经济管理类),618,2189,621.0,,6,历,,国际经济与贸易、金融学、工商管理、会计学,31,31,,,4
历史,10533,中南大学,201,616,2436,011,中国语言文学类,618,2189,622.0,,9,历,,汉语言文学、数字出版,31,31,,,4
历史,10533,中南大学,201,616,2436,012,外国语言文学类,616,2420,618.0,,10,历,,英语、法语、日语、西班牙语,31,31,,,4
历史,10384,厦门大学,214,625,1454,021,法学(含涉外法治人才基地实验班),640,539,643.0,,4,历,,,25,25,,,6
历史,10384,厦门大学,214,625,1454,024,"会计学(会计财务审计,含双学士学位项目)",636,716,646.0,,3,历,,会计学、财务管理、审计学,25,25,,,6
