subject_group,school_code,school_name,major_code,major_name,selection_requirement,actual_major_max_score,actual_major_min_score,actual_major_min_rank,major_group_code,college_department,actual_major_avg_score,actual_major_admit_count,major_note
历史,10034,中央财经大学,003,财政学类,历,637.0,618,2189,206,,,8,财政学、税收学、资产评估、财政学(财政基础理论基地班)、税收学(全球税收治理菁英班)
历史,10034,中央财经大学,014,汉语言文学,历,618.0,618,2189,206,,,1,
历史,10034,中央财经大学,006,经济与贸易类,历,620.0,617,2306,206,,,4,国际经济与贸易、国际经济与贸易(“国际贸易+应统”双学位项目)、国际商务、贸易经济
历史,10034,中央财经大学,008,经济学类,历,622.0,617,2306,206,,,3,经济学、国民经济管理
历史,10034,中央财经大学,009,工商管理类(商学院),历,617.0,617,2306,206,,,3,工商管理、工商管理(“法学+工管”双学位项目)、市场营销(大数据营销)、人力资源管理、供应链管理、供应链管理(供应链、经统双学位项目)
历史,10034,中央财经大学,007,国际经济与贸易(中外合作办学),历,617.0,611,3108,207,,,6,中外合作
历史,10008,北京科技大学,005,社会科学试验班,历,612.0,609,3421,209,,,2,法学、社会工作、社会工作(社会管理)、行政管理
历史,10008,北京科技大学,004,工商管理类(数智管理试验班),历,607.0,607,3766,209,,,2,工商管理(工商、智能双学士学位)、会计学
历史,10008,北京科技大学,006,外国语言文学类,历,608.0,603,4540,209,,,5,英语、日语、德语
历史,10036,对外经济贸易大学,004,西班牙语,历,623.0,623,1682,103,,,2,选拔进入国贸双学士学位项目
历史,10036,对外经济贸易大学,001,法语,历,615.0,615,2597,103,,,2,选拔进入国贸双学士学位项目
历史,10036,对外经济贸易大学,002,德语,历,615.0,615,2597,103,,,2,选拔进入财管双学士学位项目
历史,10036,对外经济贸易大学,003,日语,历,617.0,614,2753,103,,,2,选拔进入国贸双学士学位项目
历史,10036,对外经济贸易大学,005,越南语,历,614.0,614,2753,103,,,2,全部进入财管双学士学位项目
历史,10036,对外经济贸易大学,006,希腊语,历,617.0,613,2896,103,,,2,
历史,10036,对外经济贸易大学,019,海关管理,历,642.0,636,735,207,,,2,海关与大数据应用拔尖人才实验班
历史,10036,对外经济贸易大学,017,法学类,历,637.0,629,1181,207,,,6,法学、法学(大数据双学士学位项目)、法学(涉外型卓越经贸法律人才实验班)
历史,10036,对外经济贸易大学,014,国际经济与贸易,历,631.0,624,1586,207,,,2,国际组织人才基地班；含“国际经济与贸易+法学”双学位项目
历史,10036,对外经济贸易大学,013,经济学类,历,624.0,621,1890,207,,,5,国际经济与贸易、财政学、税收学
历史,10036,对外经济贸易大学,012,金融学类,历,624.0,620,2011,207,,,6,金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学
历史,10036,对外经济贸易大学,015,供应链管理,历,621.0,619,2131,207,,,2,双学士学位项目
历史,10036,对外经济贸易大学,020,国际经济发展合作,历,619.0,619,2131,207,,,1,
历史,10036,对外经济贸易大学,016,工商管理类,历,623.0,618,2245,207,,,11,工商管理、市场营销、会计学、会计学(北邮金科联合学士学位培养项目)、财务管理、人力资源管理
历史,10036,对外经济贸易大学,018,外国语言文学类,历,619.0,618,2245,207,,,3,商务英语(含与金融学、法学、会计学双学士学位项目)、翻译(含与金融学、法学、会计学双学士学位项目)、英语(含与金融学、法学、会计学双学士学位项目)
历史,10561,华南理工大学,032,法学(卓越法律班),历,,627,1296,211,,,15,
历史,10561,华南理工大学,034,经济学(创新班),历,,626,1410,211,,,5,
历史,10561,华南理工大学,033,法学类,历,,620,1985,211,,,42,法学、知识产权
历史,10561,华南理工大学,028,会计学,历,,617,2290,211,,,25,
历史,10561,华南理工大学,035,经济学类,历,,616,2410,211,,,62,经济学、金融学
历史,10561,华南理工大学,030,商务英语,历,,616,2434,211,,,10,
历史,10561,华南理工大学,031,新闻传播学类,历,,616,2442,211,,,30,新闻学、传播学、广告学
历史,10561,华南理工大学,029,行政管理,历,,616,2468,211,,,8,
历史,10561,华南理工大学,027,工商管理类,历,,615,2478,211,,,23,工商管理、财务管理
历史,10019,中国农业大学,013,工商管理类,历,620.0,615,2597,205,,,2,工商管理、会计学、大数据管理与应用
历史,10019,中国农业大学,006,经济学类,历,618.0,614,2753,205,,,6,国际经济与贸易、金融学、农林经济管理
历史,10019,中国农业大学,007,国际经济与贸易(中外合作办学),历,602.0,600,5295,206,,,2,中外合作
历史,10019,中国农业大学,009,农林经济管理(中外合作办学),历,598.0,597,5980,206,,,2,中外合作
历史,10019,中国农业大学,008,传播学(中外合作办学),历,598.0,596,6223,206,,,2,中外合作
历史,10019,中国农业大学,010,市场营销,历,609.0,607,3854,209,,,3,
历史,10019,中国农业大学,011,公共事业管理,历,608.0,605,4235,209,,,2,
历史,10019,中国农业大学,012,电子商务,历,605.0,605,4235,209,,,2,
历史,10422,山东大学,001,马克思主义理论,历+政,621.0,619,2072,102,,,2,
历史,10422,山东大学,005,中国语言文学类,历,631.0,625,1456,201,,,2,汉语言文学
历史,10422,山东大学,006,历史学类,历,623.0,621,1835,201,,,2,历史学、档案学
历史,10422,山东大学,008,英语,历,620.0,618,2189,201,,,4,
历史,10422,山东大学,007,哲学类,历,618.0,617,2306,201,,,2,哲学、宗教学
历史,10422,山东大学,009,考古学,历,618.0,617,2306,201,,,2,
历史,10422,山东大学,010,汉语国际教育,历,616.0,616,2420,201,,,2,
历史,10422,山东大学,011,法学类,历,620.0,619,2072,202,,,4,法学
历史,10422,山东大学,012,经济学类,历,618.0,618,2189,202,,,2,经济学、金融学经世学堂新文科实验班
历史,10422,山东大学,013,经济学类,历,617.0,616,2420,202,,,4,经济学、财政学、金融学、国际经济与贸易
历史,10422,山东大学,016,新闻传播学类,历,616.0,615,2535,202,,,3,新闻学、国际新闻与传播
历史,10422,山东大学,015,社会学类,历,616.0,615,2535,202,,,2,社会学、社会工作、人类学
历史,10422,山东大学,014,工商管理类,历,615.0,614,2676,202,,,8,工商管理、会计学
历史,10217,哈尔滨工程大学,001,英语,历,591.0,590,7863,208,,,2,
历史,10217,哈尔滨工程大学,003,工商管理,历,595.0,589,8167,208,,,3,
历史,10217,哈尔滨工程大学,002,法学,历,589.0,589,8167,208,,,1,
历史,10217,哈尔滨工程大学,004,英语,历,593.0,593,6999,209,,,1,AI试验班
历史,10040,外交学院,001,英语(国际传播),历,617.0,617,2246,105,,,1,
历史,10040,外交学院,003,法学,历,625.0,625,1418,106,,,1,
历史,10040,外交学院,002,法语,历,617.0,614,2598,106,,,2,
历史,10040,外交学院,004,国际事务与国际关系,历+政,631.0,621,1779,107,,,4,
历史,10041,中国人民公安大学,024,侦查学(面向生源地海关缉私部门入警就业),历+政,610.0,610,3336,111,,,1,男
历史,10041,中国人民公安大学,003,侦查学,历+政,628.0,605,4235,111,,,17,男
历史,10041,中国人民公安大学,001,治安学,历+政,609.0,593,6999,111,,,17,男
历史,10041,中国人民公安大学,025,公安情报学(面向生源地海关缉私部门入警就业),历+政,599.0,593,6999,111,,,2,男
历史,10041,中国人民公安大学,004,公安情报学,历+政,625.0,592,7273,111,,,11,男
历史,10041,中国人民公安大学,008,警务指挥与战术,历+政,597.0,589,8167,111,,,5,男
历史,10041,中国人民公安大学,018,侦查学(面向生源地国家移民管理机构入警就业),历+政,619.0,588,8476,111,,,3,男
历史,10041,中国人民公安大学,020,移民管理(面向生源地国家移民管理机构入警就业),历+政,613.0,588,8476,111,,,7,男
历史,10041,中国人民公安大学,019,犯罪学(面向生源地国家移民管理机构入警就业),历+政,588.0,588,8476,111,,,1,男
历史,10041,中国人民公安大学,005,犯罪学,历+政,626.0,587,8798,111,,,11,男
历史,10041,中国人民公安大学,002,治安学(警察法学),历+政,624.0,587,8798,111,,,17,男
历史,10041,中国人民公安大学,006,公安管理学,历+政,600.0,587,8798,111,,,11,男
历史,10041,中国人民公安大学,017,治安学(面向生源地国家移民管理机构人警就业),历+政,587.0,587,8798,111,,,1,男
历史,10041,中国人民公安大学,023,公安情报学(面向生源地铁路公安机关入警就业),历+政,586.0,586,9118,111,,,1,男
历史,10041,中国人民公安大学,007,涉外警务,历+政,628.0,605,4235,112,,,5,男
历史,10041,中国人民公安大学,011,侦查学,历+政,647.0,646,323,113,,,2,女
历史,10041,中国人民公安大学,014,公安管理学,历+政,635.0,635,792,113,,,1,女
历史,10041,中国人民公安大学,009,治安学,历+政,637.0,633,912,113,,,2,女
历史,10041,中国人民公安大学,012,公安情报学,历+政,633.0,633,912,113,,,1,女
历史,10041,中国人民公安大学,021,侦查学(面向生源地国家移民管理机构入警就业),历+政,633.0,633,912,113,,,1,女
历史,10041,中国人民公安大学,022,移民管理(面向生源地国家移民管理机构入警就业),历+政,633.0,633,912,113,,,1,女
历史,10041,中国人民公安大学,016,警务指挥与战术,历+政,631.0,631,1016,113,,,1,女
历史,10041,中国人民公安大学,013,犯罪学,历+政,643.0,630,1107,113,,,2,女
历史,10041,中国人民公安大学,010,治安学(警察法学),历+政,632.0,630,1107,113,,,2,女
