subject_group,school_code,school_name,major_group_code,selection_requirement,group_majors_text,actual_group_min_score,actual_group_min_rank,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
物理,10669,凯里学院,208,物+化,计算机科学与技术,501,162480,5,5,,,1
物理,10580,肇庆学院,225,物+化,生物科学(师范)，生物技术,501,162575,254,254,,普师,2
物理,10553,湖南人文科技学院,211,物,财务管理，应用心理学(师范),501,162721,4,4,,,2
物理,14160,宿迁学院,208,物+化,材料科学与工程，材料成型及控制工程,501,162888,5,5,,,2
物理,10578,韩山师范学院,226,物+化,"数据科学与大数据技术(应用技术类,与江门职业技术学院协同培养)",501,162910,50,50,,协同培养,1
物理,11607,北部湾大学,218,物+化,电子信息工程(中外合作办学),501,162984,12,12,,中外合作,1
物理,10741,兰州财经大学,209,物,法学，会计学，财政学，审计学，财务管理，供应链管理，经济统计学，广告学，公共事业管理，国际经济与贸易，金融科技，市场营销,501,163081,25,25,,,12
物理,10739,天水师范学院,210,物,英语(师范),501,163211,4,4,,普师,1
物理,10576,韶关学院,246,物+化,"车辆工程(应用技术类,与广东机电职业技术学院协同培养)",501,163282,50,50,,协同培养,1
物理,10212,黑龙江大学,213,物+化,计算机科学与技术，电气工程及其自动化，机械设计制造及其自动化，集成电路设计与集成系统，软件工程，数学与应用数学，网络空间安全，物联网工程，水利水电工程，土木工程，给排水科学与工程，植物保护，水文与水资源工程，农业水利工程,501,163447,110,110,,,14
物理,13434,赣南科技学院,213,物,工程造价,501,163500,2,2,,,1
物理,10578,韩山师范学院,216,物,汉语言文学(师范)，汉语国际教育(师范)，网络与新媒体，秘书学,500,164110,253,253,,普师,4
物理,11843,九江学院,206,物,工程造价,500,164211,2,2,,,1
物理,10417,宜春学院,226,物+化,自动化，电子信息工程，土木工程，通信工程,500,164227,8,8,,,4
物理,10579,岭南师范学院,216,物,法学，财务会计教育(师范)，财务管理，国际经济与贸易，历史学(师范)，数字经济，工商管理，电子商务,500,164270,437,437,,,8
物理,10669,凯里学院,207,物+化,数据科学与大数据技术，电气工程及其自动化,500,164399,13,13,,,2
物理,11517,河南工程学院,207,物+化,电气工程及其自动化，机械设计制造及其自动化，计算机科学与技术，车辆工程，环境工程，新能源材料与器件，轻化工程，高分子材料与工程,500,164640,24,24,,,8
物理,10419,井冈山大学,209,物,会计学,500,164744,2,2,,学分互认,1
物理,10599,右江民族医学院,211,物,公共事业管理，健康服务与管理,500,164792,2,2,,,2
物理,10580,肇庆学院,226,物+化,食品营养与健康，食品科学与工程，食品营养与健康，食品质量与安全，制药工程,500,164898,583,583,,,5
物理,10667,安顺学院,212,物+化,数据科学与大数据技术,500,164982,1,1,,,1
物理,10644,四川文理学院,208,物,翻译,500,164995,3,3,,,1
物理,11420,河北金融学院,212,物,电子商务,500,164997,4,4,,,1
物理,10739,天水师范学院,212,物+化,机械类,500,165370,3,3,,,1
物理,10222,佳木斯大学,214,物+生,护理学,500,165515,5,5,,,1
物理,13810,肇庆医学院,203,物+化,口腔医学技术，康复治疗学，医学影像技术,499,165670,370,370,,,3
物理,10578,韩山师范学院,222,物+化,数学与应用数学(师范)，数据科学与大数据技术，统计学,499,165677,384,384,,普师,3
